,sample_id,video_path,label,crush,ego,weather,timing,crush+ego
44,TRAIN_0044,./train/TRAIN_0044.mp4,0,0,-1,-1,-1,0
45,TRAIN_0045,./train/TRAIN_0045.mp4,0,0,-1,-1,-1,0
46,TRAIN_0046,./train/TRAIN_0046.mp4,0,0,-1,-1,-1,0
47,TRAIN_0047,./train/TRAIN_0047.mp4,11,1,0,2,0,2
48,TRAIN_0048,./train/TRAIN_0048.mp4,7,1,0,0,0,2
49,TRAIN_0049,./train/TRAIN_0049.mp4,1,1,1,0,0,1
50,TRAIN_0050,./train/TRAIN_0050.mp4,2,1,1,0,1,1
51,TRAIN_0051,./train/TRAIN_0051.mp4,0,0,-1,-1,-1,0
52,TRAIN_0052,./train/TRAIN_0052.mp4,0,0,-1,-1,-1,0
53,TRAIN_0053,./train/TRAIN_0053.mp4,0,0,-1,-1,-1,0
54,TRAIN_0054,./train/TRAIN_0054.mp4,0,0,-1,-1,-1,0
55,TRAIN_0055,./train/TRAIN_0055.mp4,2,1,1,0,1,1
56,TRAIN_0056,./train/TRAIN_0056.mp4,7,1,0,0,0,2
57,TRAIN_0057,./train/TRAIN_0057.mp4,0,0,-1,-1,-1,0
58,TRAIN_0058,./train/TRAIN_0058.mp4,9,1,0,1,0,2
59,TRAIN_0059,./train/TRAIN_0059.mp4,7,1,0,0,0,2
60,TRAIN_0060,./train/TRAIN_0060.mp4,7,1,0,0,0,2
61,TRAIN_0061,./train/TRAIN_0061.mp4,7,1,0,0,0,2
62,TRAIN_0062,./train/TRAIN_0062.mp4,0,0,-1,-1,-1,0
63,TRAIN_0063,./train/TRAIN_0063.mp4,0,0,-1,-1,-1,0
64,TRAIN_0064,./train/TRAIN_0064.mp4,7,1,0,0,0,2
65,TRAIN_0065,./train/TRAIN_0065.mp4,7,1,0,0,0,2
66,TRAIN_0066,./train/TRAIN_0066.mp4,1,1,1,0,0,1
67,TRAIN_0067,./train/TRAIN_0067.mp4,0,0,-1,-1,-1,0
68,TRAIN_0068,./train/TRAIN_0068.mp4,0,0,-1,-1,-1,0
69,TRAIN_0069,./train/TRAIN_0069.mp4,0,0,-1,-1,-1,0
70,TRAIN_0070,./train/TRAIN_0070.mp4,0,0,-1,-1,-1,0
71,TRAIN_0071,./train/TRAIN_0071.mp4,0,0,-1,-1,-1,0
72,TRAIN_0072,./train/TRAIN_0072.mp4,0,0,-1,-1,-1,0
73,TRAIN_0073,./train/TRAIN_0073.mp4,0,0,-1,-1,-1,0
74,TRAIN_0074,./train/TRAIN_0074.mp4,7,1,0,0,0,2
75,TRAIN_0075,./train/TRAIN_0075.mp4,0,0,-1,-1,-1,0
76,TRAIN_0076,./train/TRAIN_0076.mp4,0,0,-1,-1,-1,0
77,TRAIN_0077,./train/TRAIN_0077.mp4,1,1,1,0,0,1
78,TRAIN_0078,./train/TRAIN_0078.mp4,0,0,-1,-1,-1,0
79,TRAIN_0079,./train/TRAIN_0079.mp4,0,0,-1,-1,-1,0
80,TRAIN_0080,./train/TRAIN_0080.mp4,1,1,1,0,0,1
81,TRAIN_0081,./train/TRAIN_0081.mp4,7,1,0,0,0,2
82,TRAIN_0082,./train/TRAIN_0082.mp4,0,0,-1,-1,-1,0
83,TRAIN_0083,./train/TRAIN_0083.mp4,0,0,-1,-1,-1,0
84,TRAIN_0084,./train/TRAIN_0084.mp4,0,0,-1,-1,-1,0
85,TRAIN_0085,./train/TRAIN_0085.mp4,0,0,-1,-1,-1,0
86,TRAIN_0086,./train/TRAIN_0086.mp4,0,0,-1,-1,-1,0
87,TRAIN_0087,./train/TRAIN_0087.mp4,0,0,-1,-1,-1,0
88,TRAIN_0088,./train/TRAIN_0088.mp4,0,0,-1,-1,-1,0
89,TRAIN_0089,./train/TRAIN_0089.mp4,0,0,-1,-1,-1,0
90,TRAIN_0090,./train/TRAIN_0090.mp4,0,0,-1,-1,-1,0
91,TRAIN_0091,./train/TRAIN_0091.mp4,0,0,-1,-1,-1,0
92,TRAIN_0092,./train/TRAIN_0092.mp4,0,0,-1,-1,-1,0
93,TRAIN_0093,./train/TRAIN_0093.mp4,0,0,-1,-1,-1,0
94,TRAIN_0094,./train/TRAIN_0094.mp4,0,0,-1,-1,-1,0
95,TRAIN_0095,./train/TRAIN_0095.mp4,0,0,-1,-1,-1,0
96,TRAIN_0096,./train/TRAIN_0096.mp4,0,0,-1,-1,-1,0
97,TRAIN_0097,./train/TRAIN_0097.mp4,1,1,1,0,0,1
98,TRAIN_0098,./train/TRAIN_0098.mp4,0,0,-1,-1,-1,0
99,TRAIN_0099,./train/TRAIN_0099.mp4,0,0,-1,-1,-1,0
100,TRAIN_0100,./train/TRAIN_0100.mp4,0,0,-1,-1,-1,0
101,TRAIN_0101,./train/TRAIN_0101.mp4,0,0,-1,-1,-1,0
102,TRAIN_0102,./train/TRAIN_0102.mp4,0,0,-1,-1,-1,0
103,TRAIN_0103,./train/TRAIN_0103.mp4,0,0,-1,-1,-1,0
104,TRAIN_0104,./train/TRAIN_0104.mp4,0,0,-1,-1,-1,0
105,TRAIN_0105,./train/TRAIN_0105.mp4,1,1,1,0,0,1
106,TRAIN_0106,./train/TRAIN_0106.mp4,1,1,1,0,0,1
107,TRAIN_0107,./train/TRAIN_0107.mp4,7,1,0,0,0,2
108,TRAIN_0108,./train/TRAIN_0108.mp4,7,1,0,0,0,2
109,TRAIN_0109,./train/TRAIN_0109.mp4,7,1,0,0,0,2
110,TRAIN_0110,./train/TRAIN_0110.mp4,0,0,-1,-1,-1,0
111,TRAIN_0111,./train/TRAIN_0111.mp4,7,1,0,0,0,2
112,TRAIN_0112,./train/TRAIN_0112.mp4,0,0,-1,-1,-1,0
113,TRAIN_0113,./train/TRAIN_0113.mp4,1,1,1,0,0,1
114,TRAIN_0114,./train/TRAIN_0114.mp4,1,1,1,0,0,1
115,TRAIN_0115,./train/TRAIN_0115.mp4,1,1,1,0,0,1
116,TRAIN_0116,./train/TRAIN_0116.mp4,0,0,-1,-1,-1,0
117,TRAIN_0117,./train/TRAIN_0117.mp4,0,0,-1,-1,-1,0
118,TRAIN_0118,./train/TRAIN_0118.mp4,0,0,-1,-1,-1,0
119,TRAIN_0119,./train/TRAIN_0119.mp4,0,0,-1,-1,-1,0
120,TRAIN_0120,./train/TRAIN_0120.mp4,0,0,-1,-1,-1,0
121,TRAIN_0121,./train/TRAIN_0121.mp4,0,0,-1,-1,-1,0
122,TRAIN_0122,./train/TRAIN_0122.mp4,0,0,-1,-1,-1,0
123,TRAIN_0123,./train/TRAIN_0123.mp4,2,1,1,0,1,1
124,TRAIN_0124,./train/TRAIN_0124.mp4,0,0,-1,-1,-1,0
125,TRAIN_0125,./train/TRAIN_0125.mp4,0,0,-1,-1,-1,0
126,TRAIN_0126,./train/TRAIN_0126.mp4,7,1,0,0,0,2
127,TRAIN_0127,./train/TRAIN_0127.mp4,0,0,-1,-1,-1,0
128,TRAIN_0128,./train/TRAIN_0128.mp4,0,0,-1,-1,-1,0
129,TRAIN_0129,./train/TRAIN_0129.mp4,4,1,1,1,1,1
130,TRAIN_0130,./train/TRAIN_0130.mp4,0,0,-1,-1,-1,0
131,TRAIN_0131,./train/TRAIN_0131.mp4,0,0,-1,-1,-1,0
132,TRAIN_0132,./train/TRAIN_0132.mp4,0,0,-1,-1,-1,0
133,TRAIN_0133,./train/TRAIN_0133.mp4,0,0,-1,-1,-1,0
134,TRAIN_0134,./train/TRAIN_0134.mp4,0,0,-1,-1,-1,0
135,TRAIN_0135,./train/TRAIN_0135.mp4,0,0,-1,-1,-1,0
136,TRAIN_0136,./train/TRAIN_0136.mp4,0,0,-1,-1,-1,0
137,TRAIN_0137,./train/TRAIN_0137.mp4,0,0,-1,-1,-1,0
138,TRAIN_0138,./train/TRAIN_0138.mp4,0,0,-1,-1,-1,0
139,TRAIN_0139,./train/TRAIN_0139.mp4,0,0,-1,-1,-1,0
140,TRAIN_0140,./train/TRAIN_0140.mp4,0,0,-1,-1,-1,0
141,TRAIN_0141,./train/TRAIN_0141.mp4,0,0,-1,-1,-1,0
142,TRAIN_0142,./train/TRAIN_0142.mp4,0,0,-1,-1,-1,0
143,TRAIN_0143,./train/TRAIN_0143.mp4,3,1,1,1,0,1
144,TRAIN_0144,./train/TRAIN_0144.mp4,8,1,0,0,1,2
145,TRAIN_0145,./train/TRAIN_0145.mp4,7,1,0,0,0,2
146,TRAIN_0146,./train/TRAIN_0146.mp4,0,0,-1,-1,-1,0
147,TRAIN_0147,./train/TRAIN_0147.mp4,0,0,-1,-1,-1,0
148,TRAIN_0148,./train/TRAIN_0148.mp4,0,0,-1,-1,-1,0
149,TRAIN_0149,./train/TRAIN_0149.mp4,1,1,1,0,0,1
150,TRAIN_0150,./train/TRAIN_0150.mp4,0,0,-1,-1,-1,0
151,TRAIN_0151,./train/TRAIN_0151.mp4,0,0,-1,-1,-1,0
152,TRAIN_0152,./train/TRAIN_0152.mp4,1,1,1,0,0,1
153,TRAIN_0153,./train/TRAIN_0153.mp4,1,1,1,0,0,1
154,TRAIN_0154,./train/TRAIN_0154.mp4,0,0,-1,-1,-1,0
155,TRAIN_0155,./train/TRAIN_0155.mp4,0,0,-1,-1,-1,0
156,TRAIN_0156,./train/TRAIN_0156.mp4,1,1,1,0,0,1
157,TRAIN_0157,./train/TRAIN_0157.mp4,0,0,-1,-1,-1,0
158,TRAIN_0158,./train/TRAIN_0158.mp4,0,0,-1,-1,-1,0
159,TRAIN_0159,./train/TRAIN_0159.mp4,0,0,-1,-1,-1,0
160,TRAIN_0160,./train/TRAIN_0160.mp4,0,0,-1,-1,-1,0
161,TRAIN_0161,./train/TRAIN_0161.mp4,0,0,-1,-1,-1,0
162,TRAIN_0162,./train/TRAIN_0162.mp4,0,0,-1,-1,-1,0
163,TRAIN_0163,./train/TRAIN_0163.mp4,0,0,-1,-1,-1,0
164,TRAIN_0164,./train/TRAIN_0164.mp4,3,1,1,1,0,1
165,TRAIN_0165,./train/TRAIN_0165.mp4,0,0,-1,-1,-1,0
166,TRAIN_0166,./train/TRAIN_0166.mp4,0,0,-1,-1,-1,0
167,TRAIN_0167,./train/TRAIN_0167.mp4,0,0,-1,-1,-1,0
168,TRAIN_0168,./train/TRAIN_0168.mp4,1,1,1,0,0,1
169,TRAIN_0169,./train/TRAIN_0169.mp4,0,0,-1,-1,-1,0
170,TRAIN_0170,./train/TRAIN_0170.mp4,7,1,0,0,0,2
171,TRAIN_0171,./train/TRAIN_0171.mp4,0,0,-1,-1,-1,0
172,TRAIN_0172,./train/TRAIN_0172.mp4,1,1,1,0,0,1
173,TRAIN_0173,./train/TRAIN_0173.mp4,4,1,1,1,1,1
174,TRAIN_0174,./train/TRAIN_0174.mp4,3,1,1,1,0,1
175,TRAIN_0175,./train/TRAIN_0175.mp4,0,0,-1,-1,-1,0
176,TRAIN_0176,./train/TRAIN_0176.mp4,0,0,-1,-1,-1,0
177,TRAIN_0177,./train/TRAIN_0177.mp4,0,0,-1,-1,-1,0
178,TRAIN_0178,./train/TRAIN_0178.mp4,0,0,-1,-1,-1,0
179,TRAIN_0179,./train/TRAIN_0179.mp4,0,0,-1,-1,-1,0
180,TRAIN_0180,./train/TRAIN_0180.mp4,0,0,-1,-1,-1,0
181,TRAIN_0181,./train/TRAIN_0181.mp4,0,0,-1,-1,-1,0
182,TRAIN_0182,./train/TRAIN_0182.mp4,0,0,-1,-1,-1,0
183,TRAIN_0183,./train/TRAIN_0183.mp4,0,0,-1,-1,-1,0
184,TRAIN_0184,./train/TRAIN_0184.mp4,0,0,-1,-1,-1,0
185,TRAIN_0185,./train/TRAIN_0185.mp4,0,0,-1,-1,-1,0
186,TRAIN_0186,./train/TRAIN_0186.mp4,1,1,1,0,0,1
187,TRAIN_0187,./train/TRAIN_0187.mp4,0,0,-1,-1,-1,0
188,TRAIN_0188,./train/TRAIN_0188.mp4,0,0,-1,-1,-1,0
189,TRAIN_0189,./train/TRAIN_0189.mp4,0,0,-1,-1,-1,0
190,TRAIN_0190,./train/TRAIN_0190.mp4,2,1,1,0,1,1
191,TRAIN_0191,./train/TRAIN_0191.mp4,0,0,-1,-1,-1,0
192,TRAIN_0192,./train/TRAIN_0192.mp4,0,0,-1,-1,-1,0
193,TRAIN_0193,./train/TRAIN_0193.mp4,0,0,-1,-1,-1,0
194,TRAIN_0194,./train/TRAIN_0194.mp4,0,0,-1,-1,-1,0
195,TRAIN_0195,./train/TRAIN_0195.mp4,0,0,-1,-1,-1,0
196,TRAIN_0196,./train/TRAIN_0196.mp4,1,1,1,0,0,1
197,TRAIN_0197,./train/TRAIN_0197.mp4,0,0,-1,-1,-1,0
198,TRAIN_0198,./train/TRAIN_0198.mp4,0,0,-1,-1,-1,0
199,TRAIN_0199,./train/TRAIN_0199.mp4,0,0,-1,-1,-1,0
200,TRAIN_0200,./train/TRAIN_0200.mp4,0,0,-1,-1,-1,0
201,TRAIN_0201,./train/TRAIN_0201.mp4,0,0,-1,-1,-1,0
202,TRAIN_0202,./train/TRAIN_0202.mp4,0,0,-1,-1,-1,0
203,TRAIN_0203,./train/TRAIN_0203.mp4,0,0,-1,-1,-1,0
204,TRAIN_0204,./train/TRAIN_0204.mp4,0,0,-1,-1,-1,0
205,TRAIN_0205,./train/TRAIN_0205.mp4,1,1,1,0,0,1
206,TRAIN_0206,./train/TRAIN_0206.mp4,0,0,-1,-1,-1,0
207,TRAIN_0207,./train/TRAIN_0207.mp4,11,1,0,2,0,2
208,TRAIN_0208,./train/TRAIN_0208.mp4,0,0,-1,-1,-1,0
209,TRAIN_0209,./train/TRAIN_0209.mp4,0,0,-1,-1,-1,0
210,TRAIN_0210,./train/TRAIN_0210.mp4,0,0,-1,-1,-1,0
211,TRAIN_0211,./train/TRAIN_0211.mp4,0,0,-1,-1,-1,0
212,TRAIN_0212,./train/TRAIN_0212.mp4,0,0,-1,-1,-1,0
213,TRAIN_0213,./train/TRAIN_0213.mp4,1,1,1,0,0,1
214,TRAIN_0214,./train/TRAIN_0214.mp4,0,0,-1,-1,-1,0
215,TRAIN_0215,./train/TRAIN_0215.mp4,7,1,0,0,0,2
216,TRAIN_0216,./train/TRAIN_0216.mp4,0,0,-1,-1,-1,0
217,TRAIN_0217,./train/TRAIN_0217.mp4,0,0,-1,-1,-1,0
218,TRAIN_0218,./train/TRAIN_0218.mp4,0,0,-1,-1,-1,0
219,TRAIN_0219,./train/TRAIN_0219.mp4,0,0,-1,-1,-1,0
220,TRAIN_0220,./train/TRAIN_0220.mp4,1,1,1,0,0,1
221,TRAIN_0221,./train/TRAIN_0221.mp4,2,1,1,0,1,1
222,TRAIN_0222,./train/TRAIN_0222.mp4,7,1,0,0,0,2
223,TRAIN_0223,./train/TRAIN_0223.mp4,0,0,-1,-1,-1,0
224,TRAIN_0224,./train/TRAIN_0224.mp4,0,0,-1,-1,-1,0
225,TRAIN_0225,./train/TRAIN_0225.mp4,3,1,1,1,0,1
226,TRAIN_0226,./train/TRAIN_0226.mp4,0,0,-1,-1,-1,0
227,TRAIN_0227,./train/TRAIN_0227.mp4,1,1,1,0,0,1
228,TRAIN_0228,./train/TRAIN_0228.mp4,0,0,-1,-1,-1,0
229,TRAIN_0229,./train/TRAIN_0229.mp4,0,0,-1,-1,-1,0
230,TRAIN_0230,./train/TRAIN_0230.mp4,0,0,-1,-1,-1,0
231,TRAIN_0231,./train/TRAIN_0231.mp4,0,0,-1,-1,-1,0
232,TRAIN_0232,./train/TRAIN_0232.mp4,9,1,0,1,0,2
233,TRAIN_0233,./train/TRAIN_0233.mp4,0,0,-1,-1,-1,0
234,TRAIN_0234,./train/TRAIN_0234.mp4,7,1,0,0,0,2
235,TRAIN_0235,./train/TRAIN_0235.mp4,0,0,-1,-1,-1,0
236,TRAIN_0236,./train/TRAIN_0236.mp4,0,0,-1,-1,-1,0
237,TRAIN_0237,./train/TRAIN_0237.mp4,0,0,-1,-1,-1,0
238,TRAIN_0238,./train/TRAIN_0238.mp4,8,1,0,0,1,2
239,TRAIN_0239,./train/TRAIN_0239.mp4,0,0,-1,-1,-1,0
240,TRAIN_0240,./train/TRAIN_0240.mp4,0,0,-1,-1,-1,0
241,TRAIN_0241,./train/TRAIN_0241.mp4,1,1,1,0,0,1
242,TRAIN_0242,./train/TRAIN_0242.mp4,1,1,1,0,0,1
243,TRAIN_0243,./train/TRAIN_0243.mp4,0,0,-1,-1,-1,0
244,TRAIN_0244,./train/TRAIN_0244.mp4,0,0,-1,-1,-1,0
245,TRAIN_0245,./train/TRAIN_0245.mp4,0,0,-1,-1,-1,0
246,TRAIN_0246,./train/TRAIN_0246.mp4,3,1,1,1,0,1
247,TRAIN_0247,./train/TRAIN_0247.mp4,3,1,1,1,0,1
248,TRAIN_0248,./train/TRAIN_0248.mp4,10,1,0,1,1,2
249,TRAIN_0249,./train/TRAIN_0249.mp4,0,0,-1,-1,-1,0
250,TRAIN_0250,./train/TRAIN_0250.mp4,0,0,-1,-1,-1,0
251,TRAIN_0251,./train/TRAIN_0251.mp4,0,0,-1,-1,-1,0
252,TRAIN_0252,./train/TRAIN_0252.mp4,0,0,-1,-1,-1,0
253,TRAIN_0253,./train/TRAIN_0253.mp4,7,1,0,0,0,2
254,TRAIN_0254,./train/TRAIN_0254.mp4,0,0,-1,-1,-1,0
255,TRAIN_0255,./train/TRAIN_0255.mp4,0,0,-1,-1,-1,0
256,TRAIN_0256,./train/TRAIN_0256.mp4,0,0,-1,-1,-1,0
257,TRAIN_0257,./train/TRAIN_0257.mp4,0,0,-1,-1,-1,0
258,TRAIN_0258,./train/TRAIN_0258.mp4,7,1,0,0,0,2
259,TRAIN_0259,./train/TRAIN_0259.mp4,0,0,-1,-1,-1,0
260,TRAIN_0260,./train/TRAIN_0260.mp4,0,0,-1,-1,-1,0
261,TRAIN_0261,./train/TRAIN_0261.mp4,0,0,-1,-1,-1,0
262,TRAIN_0262,./train/TRAIN_0262.mp4,0,0,-1,-1,-1,0
263,TRAIN_0263,./train/TRAIN_0263.mp4,1,1,1,0,0,1
264,TRAIN_0264,./train/TRAIN_0264.mp4,0,0,-1,-1,-1,0
265,TRAIN_0265,./train/TRAIN_0265.mp4,0,0,-1,-1,-1,0
266,TRAIN_0266,./train/TRAIN_0266.mp4,0,0,-1,-1,-1,0
267,TRAIN_0267,./train/TRAIN_0267.mp4,1,1,1,0,0,1
268,TRAIN_0268,./train/TRAIN_0268.mp4,3,1,1,1,0,1
269,TRAIN_0269,./train/TRAIN_0269.mp4,0,0,-1,-1,-1,0
270,TRAIN_0270,./train/TRAIN_0270.mp4,0,0,-1,-1,-1,0
271,TRAIN_0271,./train/TRAIN_0271.mp4,0,0,-1,-1,-1,0
272,TRAIN_0272,./train/TRAIN_0272.mp4,5,1,1,2,0,1
273,TRAIN_0273,./train/TRAIN_0273.mp4,0,0,-1,-1,-1,0
274,TRAIN_0274,./train/TRAIN_0274.mp4,0,0,-1,-1,-1,0
275,TRAIN_0275,./train/TRAIN_0275.mp4,0,0,-1,-1,-1,0
276,TRAIN_0276,./train/TRAIN_0276.mp4,1,1,1,0,0,1
277,TRAIN_0277,./train/TRAIN_0277.mp4,0,0,-1,-1,-1,0
278,TRAIN_0278,./train/TRAIN_0278.mp4,0,0,-1,-1,-1,0
279,TRAIN_0279,./train/TRAIN_0279.mp4,0,0,-1,-1,-1,0
280,TRAIN_0280,./train/TRAIN_0280.mp4,1,1,1,0,0,1
281,TRAIN_0281,./train/TRAIN_0281.mp4,0,0,-1,-1,-1,0
282,TRAIN_0282,./train/TRAIN_0282.mp4,1,1,1,0,0,1
283,TRAIN_0283,./train/TRAIN_0283.mp4,1,1,1,0,0,1
284,TRAIN_0284,./train/TRAIN_0284.mp4,1,1,1,0,0,1
285,TRAIN_0285,./train/TRAIN_0285.mp4,7,1,0,0,0,2
286,TRAIN_0286,./train/TRAIN_0286.mp4,0,0,-1,-1,-1,0
287,TRAIN_0287,./train/TRAIN_0287.mp4,1,1,1,0,0,1
288,TRAIN_0288,./train/TRAIN_0288.mp4,0,0,-1,-1,-1,0
289,TRAIN_0289,./train/TRAIN_0289.mp4,11,1,0,2,0,2
290,TRAIN_0290,./train/TRAIN_0290.mp4,0,0,-1,-1,-1,0
291,TRAIN_0291,./train/TRAIN_0291.mp4,0,0,-1,-1,-1,0
292,TRAIN_0292,./train/TRAIN_0292.mp4,7,1,0,0,0,2
293,TRAIN_0293,./train/TRAIN_0293.mp4,0,0,-1,-1,-1,0
294,TRAIN_0294,./train/TRAIN_0294.mp4,7,1,0,0,0,2
295,TRAIN_0295,./train/TRAIN_0295.mp4,3,1,1,1,0,1
296,TRAIN_0296,./train/TRAIN_0296.mp4,7,1,0,0,0,2
297,TRAIN_0297,./train/TRAIN_0297.mp4,1,1,1,0,0,1
298,TRAIN_0298,./train/TRAIN_0298.mp4,0,0,-1,-1,-1,0
299,TRAIN_0299,./train/TRAIN_0299.mp4,0,0,-1,-1,-1,0
300,TRAIN_0300,./train/TRAIN_0300.mp4,7,1,0,0,0,2
301,TRAIN_0301,./train/TRAIN_0301.mp4,0,0,-1,-1,-1,0
302,TRAIN_0302,./train/TRAIN_0302.mp4,0,0,-1,-1,-1,0
303,TRAIN_0303,./train/TRAIN_0303.mp4,0,0,-1,-1,-1,0
304,TRAIN_0304,./train/TRAIN_0304.mp4,0,0,-1,-1,-1,0
305,TRAIN_0305,./train/TRAIN_0305.mp4,0,0,-1,-1,-1,0
306,TRAIN_0306,./train/TRAIN_0306.mp4,1,1,1,0,0,1
307,TRAIN_0307,./train/TRAIN_0307.mp4,7,1,0,0,0,2
308,TRAIN_0308,./train/TRAIN_0308.mp4,0,0,-1,-1,-1,0
309,TRAIN_0309,./train/TRAIN_0309.mp4,0,0,-1,-1,-1,0
310,TRAIN_0310,./train/TRAIN_0310.mp4,7,1,0,0,0,2
311,TRAIN_0311,./train/TRAIN_0311.mp4,1,1,1,0,0,1
312,TRAIN_0312,./train/TRAIN_0312.mp4,0,0,-1,-1,-1,0
313,TRAIN_0313,./train/TRAIN_0313.mp4,1,1,1,0,0,1
314,TRAIN_0314,./train/TRAIN_0314.mp4,9,1,0,1,0,2
315,TRAIN_0315,./train/TRAIN_0315.mp4,0,0,-1,-1,-1,0
316,TRAIN_0316,./train/TRAIN_0316.mp4,7,1,0,0,0,2
317,TRAIN_0317,./train/TRAIN_0317.mp4,0,0,-1,-1,-1,0
318,TRAIN_0318,./train/TRAIN_0318.mp4,11,1,0,2,0,2
319,TRAIN_0319,./train/TRAIN_0319.mp4,0,0,-1,-1,-1,0
320,TRAIN_0320,./train/TRAIN_0320.mp4,0,0,-1,-1,-1,0
321,TRAIN_0321,./train/TRAIN_0321.mp4,7,1,0,0,0,2
322,TRAIN_0322,./train/TRAIN_0322.mp4,0,0,-1,-1,-1,0
323,TRAIN_0323,./train/TRAIN_0323.mp4,1,1,1,0,0,1
324,TRAIN_0324,./train/TRAIN_0324.mp4,0,0,-1,-1,-1,0
325,TRAIN_0325,./train/TRAIN_0325.mp4,7,1,0,0,0,2
326,TRAIN_0326,./train/TRAIN_0326.mp4,0,0,-1,-1,-1,0
327,TRAIN_0327,./train/TRAIN_0327.mp4,7,1,0,0,0,2
328,TRAIN_0328,./train/TRAIN_0328.mp4,0,0,-1,-1,-1,0
329,TRAIN_0329,./train/TRAIN_0329.mp4,0,0,-1,-1,-1,0
330,TRAIN_0330,./train/TRAIN_0330.mp4,0,0,-1,-1,-1,0
331,TRAIN_0331,./train/TRAIN_0331.mp4,0,0,-1,-1,-1,0
332,TRAIN_0332,./train/TRAIN_0332.mp4,7,1,0,0,0,2
333,TRAIN_0333,./train/TRAIN_0333.mp4,0,0,-1,-1,-1,0
334,TRAIN_0334,./train/TRAIN_0334.mp4,0,0,-1,-1,-1,0
335,TRAIN_0335,./train/TRAIN_0335.mp4,0,0,-1,-1,-1,0
336,TRAIN_0336,./train/TRAIN_0336.mp4,0,0,-1,-1,-1,0
337,TRAIN_0337,./train/TRAIN_0337.mp4,1,1,1,0,0,1
338,TRAIN_0338,./train/TRAIN_0338.mp4,5,1,1,2,0,1
339,TRAIN_0339,./train/TRAIN_0339.mp4,0,0,-1,-1,-1,0
